simulations,probability_estimate,variance,error
340000,2.404370E-07,6.080536E-10,4.228940E-08
341000,2.399267E-07,6.062842E-10,4.216586E-08
342000,2.392240E-07,6.045129E-10,4.204262E-08
343000,2.385233E-07,6.027525E-10,4.192011E-08
344000,2.385468E-07,6.011553E-10,4.180364E-08
345000,2.385204E-07,5.994586E-10,4.168406E-08
346000,2.377298E-07,5.977263E-10,4.156360E-08
347000,2.382657E-07,5.965300E-10,4.146211E-08
348000,2.375584E-07,5.948181E-10,4.134304E-08
349000,2.367914E-07,5.931140E-10,4.122459E-08
350000,2.367231E-07,5.915034E-10,4.110973E-08
351000,2.367990E-07,5.899803E-10,4.099824E-08
352000,2.372452E-07,5.884815E-10,4.088792E-08
353000,2.395015E-07,5.888465E-10,4.084263E-08
354000,2.388016E-07,5.871846E-10,4.072731E-08
355000,2.396953E-07,5.865140E-10,4.064667E-08
356000,2.389341E-07,5.848668E-10,4.053251E-08
357000,2.381668E-07,5.832287E-10,4.041898E-08
358000,2.374212E-07,5.815999E-10,4.030609E-08
359000,2.367417E-07,5.799822E-10,4.019390E-08
360000,2.365339E-07,5.784585E-10,4.008527E-08
361000,2.364205E-07,5.769076E-10,3.997602E-08
362000,2.430481E-07,5.936682E-10,4.049651E-08
363000,2.423914E-07,5.920353E-10,4.038504E-08
364000,2.417306E-07,5.904119E-10,4.027419E-08
365000,2.411270E-07,5.887988E-10,4.016401E-08
366000,2.405661E-07,5.871971E-10,4.005451E-08
367000,2.400107E-07,5.856106E-10,3.994583E-08
368000,2.392798E-07,5.840195E-10,3.983729E-08
369000,2.385980E-07,5.824384E-10,3.972938E-08
370000,2.382694E-07,5.808865E-10,3.962276E-08
371000,2.377746E-07,5.793425E-10,3.951671E-08
372000,2.371399E-07,5.777884E-10,3.941059E-08
373000,2.364525E-07,5.762402E-10,3.930496E-08
374000,2.357267E-07,5.746996E-10,3.919987E-08
375000,2.352295E-07,5.731729E-10,3.909554E-08
376000,2.347252E-07,5.716567E-10,3.899184E-08
377000,2.349734E-07,5.704264E-10,3.889817E-08
378000,2.342592E-07,5.689176E-10,3.879527E-08
379000,2.341730E-07,5.674621E-10,3.869446E-08
380000,2.339447E-07,5.660189E-10,3.859434E-08
381000,2.376819E-07,5.716086E-10,3.873351E-08
382000,2.369681E-07,5.701124E-10,3.863212E-08
383000,2.375192E-07,5.692326E-10,3.855187E-08
