simulations,probability_estimate,variance,error
487000,0.0006284022,0.0001152625,1.538436e-05
488000,0.0006281583000000001,0.0001150292,1.535303e-05
489000,0.000628001,0.0001147999,1.532203e-05
490000,0.0006277528,0.0001145677,1.52909e-05
491000,0.0006274482,0.0001143347,1.525978e-05
492000,0.0006272577,0.0001141063,1.522903e-05
493000,0.000626985,0.0001138758,1.519821e-05
494000,0.0006268024,0.0001136478,1.516761e-05
495000,0.0006266898,0.0001134247,1.51374e-05
496000,0.0006269234000000001,0.0001132475,1.511032e-05
497000,0.0006268277,0.0001130289,1.508053e-05
498000,0.000626501,0.0001128023,1.505027e-05
499000,0.0006263357,0.000112579,1.50203e-05
500000,0.0006260995,0.0001123551,1.499034e-05
501000,0.0006269181,0.0001126887,1.499758e-05
502000,0.0006266483,0.0001124653,1.496778e-05
503000,0.0006268708,0.0001123493,1.494518e-05
504000,0.0006273726,0.0001122841,1.492602e-05
505000,0.0006273678,0.0001120792,1.489762e-05
506000,0.0006271593000000001,0.0001118593,1.486828e-05
507000,0.0006269656,0.0001116434,1.483927e-05
508000,0.0006267078000000001,0.0001114243,1.48101e-05
509000,0.0006265717,0.0001112086,1.478122e-05
510000,0.0006266228,0.0001110176,1.475404e-05
511000,0.0006263584,0.0001108009,1.47252e-05
512000,0.0006263342,0.0001106042,1.469775e-05
513000,0.0006262117,0.000110393,1.466939e-05
514000,0.0006259458,0.0001101791,1.464091e-05
515000,0.000625753,0.0001099676,1.461264e-05
516000,0.0006254874,0.0001097554,1.458439e-05
517000,0.0006253246,0.0001095475,1.455646e-05
518000,0.0006251939,0.0001093381,1.452851e-05
519000,0.0006249594,0.0001091282,1.450056e-05
520000,0.0006247055,0.0001089189,1.447271e-05
521000,0.0006245879,0.0001087137,1.444519e-05
522000,0.0006244986,0.0001085185,1.441838e-05
523000,0.0006242077,0.0001083117,1.439086e-05
524000,0.0006240846,0.0001081177,1.436424e-05
525000,0.0006245061,0.0001080806,1.434809e-05
526000,0.0006263681,0.0001095463,1.443132e-05
527000,0.0006264743,0.0001093597,1.440534e-05
528000,0.0006262761000000001,0.0001091573,1.437836e-05
529000,0.000626203,0.0001089577,1.435163e-05
530000,0.0006272459,0.0001095778,1.437883e-05
531000,0.0006270215,0.0001093729,1.435184e-05
532000,0.0006268508,0.0001091704,1.432506e-05
533000,0.0006265828,0.0001089663,1.429824e-05
534000,0.0006265331,0.0001087736,1.427221e-05
535000,0.0006263989,0.0001085751,1.424584e-05
536000,0.0006262732,0.0001083774,1.421959e-05
537000,0.0006262527,0.0001081863,1.419381e-05
538000,0.0006260588,0.0001079891,1.416768e-05
539000,0.000625884,0.0001077905,1.414151e-05
540000,0.0006258013,0.0001075972,1.411574e-05
541000,0.0006261758,0.0001075653,1.41006e-05
542000,0.0006266895,0.000107444,1.407964e-05
